image_ID,object_ID,size,pos_x,pos_y,roundness,brightness_sum_red,brightness_average_red,brightness_sum_green,brightness_average_green,brightness_sum_blue,brightness_average_blue,brightness_sum,brightness_average,min_feret,max_feret,feret_ratio,width_to_height_ratio
plant001_rgb_class_watershed,1,155,245.874,261.855,0.807,18829.0,121.47741935483872,24631.0,158.90967741935484,9329.0,60.18709677419355,17594.0,113.50967741935484,13.435,17.029,0.7889320586105296,1.0
plant001_rgb_class_watershed,2,161,254.724,287.960,0.735,19799.0,122.9751552795031,25601.0,159.01242236024845,10261.0,63.732919254658384,18560.0,115.27950310559007,13.403,18.358,0.7300910628026502,0.875
plant002_rgb_class_watershed,1,361,240.032,259.799,0.873,47060.0,130.36288088642658,60547.0,167.7202216066482,25730.0,71.2770083102493,44446.0,123.1191135734072,20.506,24.759,0.8282334430674329,0.9545454545454546
plant002_rgb_class_watershed,2,212,263.797,273.642,0.934,24507.0,115.59905660377359,33943.0,160.10849056603774,10089.0,47.589622641509436,22844.0,107.75471698113208,16.000,18.358,0.8715755371245493,1.0625
plant002_rgb_class_watershed,3,225,243.607,288.429,0.957,27378.0,121.68,37347.0,165.98666666666668,8761.0,38.937777777777775,24493.0,108.85777777777778,16.996,18.358,0.9258385588888683,1.0
plant002_rgb_class_watershed,4,343,268.019,293.888,0.832,46150.0,134.54810495626822,58297.0,169.96209912536443,26196.0,76.3731778425656,43545.0,126.9533527696793,20.000,24.413,0.8192319205190405,0.9090909090909091
plant004_rgb_class_watershed,1,234,263.231,304.521,0.557,27011.0,115.43162393162393,34113.0,145.78205128205127,10258.0,43.837606837606835,23791.0,101.67094017094017,14,24.042,0.5823232315653921,0.6086956521739131
plant006_rgb_class_watershed,1,292,243.003,260.127,0.783,40536.0,138.82191780821918,50318.0,172.32191780821918,21409.0,73.31849315068493,37419.0,128.1472602739726,18.000,23.409,0.7689218919450849,0.8181818181818182
plant006_rgb_class_watershed,2,268,268.437,280.616,0.473,31660.0,118.13432835820896,41807.0,155.9962686567164,9118.0,34.02238805970149,27532.0,102.73134328358209,14.000,26.683,0.524672182297103,1.8571428571428572
plant006_rgb_class_watershed,3,213,234.138,286.791,0.907,28607.0,134.30516431924883,37423.0,175.69483568075117,10175.0,47.76995305164319,25409.0,119.29107981220658,16.000,18.028,0.8875203139603666,1.0625
plant006_rgb_class_watershed,4,295,263.066,304.175,0.776,40116.0,135.9864406779661,50969.0,172.77627118644068,21868.0,74.12881355932204,37655.0,127.64406779661017,17.678,23.431,0.7544645503543211,0.95
plant007_rgb_class_watershed,1,476,236.870,262.559,0.892,68440.0,143.17991631799163,87478.0,183.00836820083683,38634.0,80.82426778242677,64845.0,135.66108786610877,24.042,30.232,0.7952264585324796,1.04
plant007_rgb_class_watershed,2,823,288.777,273.078,0.834,106140.0,128.96719319562575,146706.0,178.25759416767923,25227.0,30.652490886998784,92693.0,112.62818955042528,30.522,36.620,0.8334747291563084,1.0625
plant007_rgb_class_watershed,3,223,242.877,281.545,0.868,27984.0,125.48878923766816,38790.0,173.94618834080717,12779.0,57.30493273542601,26518.0,118.91479820627802,18.044,21.095,0.855388255538848,1.0
plant007_rgb_class_watershed,4,294,256.636,289.799,0.800,34948.0,118.87074829931973,46553.0,158.343537414966,16521.0,56.19387755102041,32673.0,111.13265306122449,19.742,23.770,0.8305673173088611,0.9090909090909091
